Value,Timestamp
Space,2021-03-23T16:42:27.8355200-07:00
Space,2021-03-23T16:42:28.1096704-07:00
Space,2021-03-23T16:42:28.2941440-07:00
Space,2021-03-23T16:42:28.4647680-07:00
Space,2021-03-23T16:42:28.6470272-07:00
Space,2021-03-23T16:42:29.0315392-07:00
Space,2021-03-23T16:42:30.8957824-07:00
Space,2021-03-23T16:42:31.0652800-07:00
Space,2021-03-23T16:42:31.2699904-07:00
Space,2021-03-23T16:42:31.4686464-07:00
Space,2021-03-23T16:42:32.2359680-07:00
Space,2021-03-23T16:42:32.5076480-07:00
Space,2021-03-23T16:42:33.2153600-07:00
Space,2021-03-23T16:42:33.4283776-07:00
Space,2021-03-23T16:42:37.4335616-07:00
Space,2021-03-23T16:42:37.6576512-07:00
Space,2021-03-23T16:42:38.6886912-07:00
Space,2021-03-23T16:42:38.9068544-07:00
Space,2021-03-23T16:42:39.2141440-07:00
Space,2021-03-23T16:42:39.9655552-07:00
Space,2021-03-23T16:42:40.2232064-07:00
Space,2021-03-23T16:42:40.4352640-07:00
Space,2021-03-23T16:42:41.5653248-07:00
Space,2021-03-23T16:42:41.8542976-07:00
Space,2021-03-23T16:42:42.1832960-07:00
Space,2021-03-23T16:42:42.8001664-07:00
Space,2021-03-23T16:42:43.0270336-07:00
Space,2021-03-23T16:42:44.2096512-07:00
Space,2021-03-23T16:42:44.4886144-07:00
Space,2021-03-23T16:42:45.3099392-07:00
Space,2021-03-23T16:42:45.5490432-07:00
Space,2021-03-23T16:42:45.7929472-07:00
Space,2021-03-23T16:42:50.0209024-07:00
Space,2021-03-23T16:43:00.2643456-07:00
Space,2021-03-23T16:43:00.4677376-07:00
Space,2021-03-23T16:43:00.8943616-07:00
Space,2021-03-23T16:43:01.0868736-07:00
Space,2021-03-23T16:43:01.2656512-07:00
